Diện tích,Phòng ngủ,Phòng tắm,Pháp lý,Ngày đăng,Mã BĐS,Địa chỉ,Giá,Mã ĐVHC
62.0,2,2,Sổ hồng,11/03/2023,21959448," Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TPHCM",1 tỷ 120 triệu,777
87.0,2,2,Sổ hồng,11/03/2023,21670553," Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",1 tỷ 850 triệu,769
76.0,2,2,Sổ hồng,11/03/2023,21932595," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 150 triệu,769
80.0,3,2,Hợp đồng mua bán,11/03/2023,21691470," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",3 tỷ 790 triệu,768
81.0,2,2,Không xác định,11/03/2023,21973034," Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TPHCM",3 tỷ 230 triệu,765
48.8,1,1,Sổ hồng,11/03/2023,21691240," Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 350 triệu,769
80.0,2,2,Sổ hồng,11/03/2023,21994305," Hồng Lạc, Phường 10, Quận Tân Bình, TPHCM",1 tỷ 680 triệu,766
105.0,3,2,Sổ hồng,11/03/2023,21994390," Song Hành, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",3 tỷ 465 triệu,769
100.5,3,2,Sổ hồng,11/03/2023,21688467," Mai Chí Thọ, Phường An Phú, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 650 triệu,769
54.0,1,1,Sổ hồng,11/03/2023,21994372," Phước Hữu, Phường Phước Long B, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 95 triệu,769
88.0,3,2,Sổ hồng,11/03/2023,21994343," Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, TPHCM",3 tỷ 210 triệu,778
72.0,2,2,Sổ hồng,11/03/2023,21996015," Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",1 tỷ 765 triệu,767
62.0,2,2,Sổ hồng,11/03/2023,21994402," Tân Hòa Đông, Phường 13, Quận 6, TPHCM",141 triệu,775
59.0,2,1,Hợp đồng mua bán,11/03/2023,21689231," Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TPHCM",1 tỷ 125 triệu,777
74.0,2,2,Sổ hồng,11/03/2023,21996024," Bến Vân Đồn, Phường 6, Quận 4, TPHCM",2 tỷ 125 triệu,773
68.0,2,2,Sổ hồng,11/03/2023,21996010," Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, TPHCM",1 tỷ 520 triệu,778
157.0,4,4,Sổ hồng,11/03/2023,21995991," Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",4 tỷ 350 triệu,769
77.0,2,2,Sổ hồng,11/03/2023,21994812," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",1 tỷ 265 triệu,768
85.0,2,2,Sổ hồng,11/03/2023,21995334," Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, TPHCM",1 tỷ 590 triệu,778
87.0,3,2,Sổ hồng,11/03/2023,21708845," Đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức (TP. Thủ Đức), TPHCM",3 tỷ 720 triệu,769
70.0,2,2,Sổ hồng,11/03/2023,21994819," Hồng Hà, Phường 9, Quận Phú Nhuận, TPHCM",2 tỷ 550 triệu,768
69.0,3,2,Sổ hồng,11/03/2023,21995981," Đường số 11, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 460 triệu,769
75.0,2,2,Sổ hồng,11/03/2023,21994877," Thoại Ngọc Hầu, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 850 triệu,767
64.0,2,2,Sổ hồng,11/03/2023,21996002," Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",1 tỷ 670 triệu,769
87.0,3,2,Sổ hồng,11/03/2023,21992900," Ngô Tất Tố, Phường 19, Quận Bình Thạnh, TPHCM",1 tỷ 950 triệu,765
76.0,2,2,Sổ hồng,11/03/2023,21929441," Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 890 triệu,778
53.0,2,1,Sổ hồng,11/03/2023,21992736," Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",1 tỷ 525 triệu,767
74.0,2,2,Sổ hồng,11/03/2023,21932550," Khuông Việt, Phường Phú Trung, Quận Tân Phú, TPHCM",1 tỷ 750 triệu,767
66.0,2,1,Sổ hồng,11/03/2023,21992815," Lương Minh Nguyệt, Phường Tân Thới Hòa, Quận Tân Phú, TPHCM",1 tỷ 550 triệu,767
72.0,2,2,Sổ hồng,11/03/2023,21995158," Nguyễn Tri Phương, Phường 14, Quận 10, TPHCM",1 tỷ 760 triệu,771
100.0,3,2,Sổ hồng,11/03/2023,21993147," Phan Huy Ích, Phường 15, Quận Tân Bình, TPHCM",1 tỷ 940 triệu,766
69.9,2,2,Sổ hồng,11/03/2023,21995147," Lý Thường Kiệt, Phường 14, Quận 10, TPHCM",2 tỷ 810 triệu,771
115.0,3,2,Sổ hồng,11/03/2023,21992851," Phan Văn Khỏe, Phường 2, Quận 6, TPHCM",2 tỷ 750 triệu,775
78.0,2,2,Sổ hồng,11/03/2023,21995139," Thành Thái, Phường 14, Quận 10, TPHCM",2 tỷ 750 triệu,771
70.0,2,2,Sổ hồng,11/03/2023,21994436," Phú Thuận, Phường Tân Phú, Quận 7, TPHCM",1 tỷ 840 triệu,778
47.0,1,1,Sổ hồng,11/03/2023,21932280," Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",1 tỷ 450 triệu,769
86.0,2,2,Không xác định,11/03/2023,21995124," Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",4 tỷ 250 triệu,771
89.0,2,2,Sổ hồng,11/03/2023,21994417," Lộ Tẻ, Phường Tân Tạo A, Quận Bình Tân, TPHCM",1 tỷ 850 triệu,777
55.0,1,1,Không xác định,11/03/2023,21931861," Điện Biên Phủ, Phường 22, Quận Bình Thạnh, TPHCM",2 tỷ 210 triệu,765
71.0,2,2,Hợp đồng mua bán,11/03/2023,21244433," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 500 triệu,767
88.0,2,2,Hợp đồng mua bán,11/03/2023,21931700," Đường số 66, Phường Thảo Điền, Quận 2 (TP. Thủ Đức), TPHCM",2 tỷ 350 triệu,769
63.0,2,2,Hợp đồng mua bán,11/03/2023,21242770," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 250 triệu,767
72.0,12,2,Sổ hồng,11/03/2023,21932569," Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, TPHCM",1 tỷ 680 triệu,778
96.0,2,2,Hợp đồng mua bán,11/03/2023,21242624," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ,767
72.0,2,2,Sổ hồng,11/03/2023,21994409," Tân Thành, Phường Tây Thạnh, Quận Tân Phú, TPHCM",1 tỷ 715 triệu,767
64.0,2,2,Sổ hồng,11/03/2023,21931564," Vũ Huy Tấn, Phường 3, Quận Bình Thạnh, TPHCM",1 tỷ 780 triệu,765
66.0,2,1,Hợp đồng mua bán,11/03/2023,21225726," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 300 triệu,767
50.0,1,1,Sổ hồng,11/03/2023,21931657," Cô Giang, Phường Cô Giang, Quận 1, TPHCM",2 tỷ 250 triệu,760
97.0,2,2,Hợp đồng mua bán,11/03/2023,21225703," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 567 triệu,767
74.0,2,2,Sổ hồng,11/03/2023,21994405," Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, TPHCM",1 tỷ 830 triệu,778
85.0,2,2,Hợp đồng mua bán,11/03/2023,21225670," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 995 triệu,767
95.8,2,2,Hợp đồng mua bán,11/03/2023,21225655," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 567 triệu,767
74.0,2,2,Sổ hồng,11/03/2023,21994363," Bến Vân Đồn, Phường 6, Quận 4, TPHCM",2 tỷ 520 triệu,773
85.0,2,2,Hợp đồng mua bán,11/03/2023,21225619," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ,767
65.0,2,2,Sổ hồng,11/03/2023,21994344," Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TPHCM",1 tỷ 515 triệu,761
63.0,2,2,Hợp đồng mua bán,11/03/2023,21225574," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 100 triệu,767
70.0,2,2,Sổ hồng,11/03/2023,22009137," Bến Vân Đồn, Phường 12, Quận 4, TPHCM",2 tỷ 110 triệu,773
117.0,3,1,Hợp đồng mua bán,11/03/2023,21225552," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 600 triệu,767
68.0,2,2,Hợp đồng mua bán,11/03/2023,21224104," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 700 triệu,767
50.0,1,1,Sổ hồng,11/03/2023,21994330," Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",1 tỷ 555 triệu,767
127.0,3,2,Hợp đồng mua bán,11/03/2023,21224100," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
75.0,2,2,Sổ hồng,11/03/2023,21992946," Cộng Hòa, Phường 12, Quận Tân Bình, TPHCM",1 tỷ 885 triệu,766
120.0,3,2,Hợp đồng mua bán,11/03/2023,21224092," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 600 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21223886," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 700 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21223854," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 200 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21223845," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 333 triệu,767
53.0,1,1,Hợp đồng mua bán,11/03/2023,21223839," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 500 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21223806," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 700 triệu,767
274.0,4,4,Hợp đồng mua bán,11/03/2023,21214321," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",24 tỷ,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21262469," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 450 triệu,767
117.0,3,2,Hợp đồng mua bán,11/03/2023,21792058," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 600 triệu,767
92.0,2,2,Hợp đồng mua bán,11/03/2023,21217089," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
107.0,3,2,Hợp đồng mua bán,11/03/2023,21217082," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 400 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21792054," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
63.0,5,5,Hợp đồng mua bán,11/03/2023,21217064," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 350 triệu,767
112.0,2,2,Hợp đồng mua bán,11/03/2023,21650958," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 700 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21217057," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 300 triệu,767
121.0,3,3,Hợp đồng mua bán,11/03/2023,21635456," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",8 tỷ,767
112.0,3,2,Hợp đồng mua bán,11/03/2023,21217052," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 300 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21635420," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 190 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21217043," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 750 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21635402," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
119.0,3,2,Hợp đồng mua bán,11/03/2023,21217037," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21217026," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 900 triệu,767
218.0,3,3,Hợp đồng mua bán,11/03/2023,21635387," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",11 tỷ 772 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21217020," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 600 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21628389," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 400 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21217011," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 800 triệu,767
63.0,2,1,Hợp đồng mua bán,11/03/2023,21217005," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 280 triệu,767
98.0,3,2,Hợp đồng mua bán,11/03/2023,21795115," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 900 triệu,767
63.0,2,1,Hợp đồng mua bán,11/03/2023,21216994," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 300 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21216989," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
218.0,2,2,Hợp đồng mua bán,11/03/2023,21216979," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",8 tỷ 800 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21793233," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 147 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21793222," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 200 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21216368," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 800 triệu,767
88.0,2,2,Hợp đồng mua bán,11/03/2023,21793203," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
111.9,2,2,Hợp đồng mua bán,11/03/2023,21216358," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21793199," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 200 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21216348," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
88.0,2,2,Hợp đồng mua bán,11/03/2023,21793194," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 300 triệu,767
63.0,2,2,Hợp đồng mua bán,11/03/2023,21216072," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 950 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21284944," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 700 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21284920," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 200 triệu,767
86.0,2,2,Hợp đồng mua bán,11/03/2023,21792061," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 990 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21284302," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 300 triệu,767
92.0,2,2,Hợp đồng mua bán,11/03/2023,21284273," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 350 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21284253," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 100 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21791972," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 190 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21284224," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 500 triệu,767
96.0,2,2,Không xác định,11/03/2023,21614645," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 460 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21284173," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21279025," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21279000," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 300 triệu,767
72.0,2,2,Hợp đồng mua bán,11/03/2023,21278968," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 300 triệu,767
53.0,1,1,Hợp đồng mua bán,11/03/2023,21817590," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 850 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21235882," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 200 triệu,767
96.0,3,3,Hợp đồng mua bán,11/03/2023,21232675," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ 300 triệu,767
135.0,3,2,Hợp đồng mua bán,11/03/2023,21794898," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ 600 triệu,767
112.0,2,2,Hợp đồng mua bán,11/03/2023,21231562," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 850 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21222244," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 100 triệu,767
200.0,3,2,Hợp đồng mua bán,11/03/2023,21744596," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",11 tỷ,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21210063," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 350 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21744576," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 141 triệu,767
53.0,1,2,Hợp đồng mua bán,11/03/2023,21222237," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 650 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21217077," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 150 triệu,767
127.0,3,2,Không xác định,11/03/2023,21614353," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ 700 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21416456," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 120 triệu,767
96.0,2,2,Sổ hồng,11/03/2023,21614338," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 950 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21413590," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
117.0,3,2,Không xác định,11/03/2023,21614291," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 890 triệu,767
92.0,2,2,Hợp đồng mua bán,11/03/2023,21377099," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
92.0,2,2,Hợp đồng mua bán,11/03/2023,21614270," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 580 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21375643," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 900 triệu,767
119.0,3,2,Hợp đồng mua bán,11/03/2023,21614246," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21614221," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 450 triệu,767
53.0,1,1,Hợp đồng mua bán,11/03/2023,21373614," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",2 tỷ 750 triệu,767
117.0,3,2,Hợp đồng mua bán,11/03/2023,21614200," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",6 tỷ 990 triệu,767
112.0,3,2,Hợp đồng mua bán,11/03/2023,21373613," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 120 triệu,767
88.0,2,2,Hợp đồng mua bán,11/03/2023,21614183," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 190 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21373612," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 800 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21614155," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 350 triệu,767
96.0,2,2,Không xác định,11/03/2023,21614146," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ 600 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21351540," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 300 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21613360," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21341368," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",6 tỷ,767
85.0,2,2,Sổ hồng,11/03/2023,21335515," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 450 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21793241," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
112.0,2,2,Hợp đồng mua bán,11/03/2023,21278913," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 488 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21262486," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 180 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21256875," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 800 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21743009," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 150 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21242788," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 600 triệu,767
121.0,3,2,Hợp đồng mua bán,11/03/2023,21741470," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",8 tỷ 700 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21217467," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21730540," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 400 triệu,767
63.0,2,1,Hợp đồng mua bán,11/03/2023,21413610," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 200 triệu,767
274.0,3,3,Hợp đồng mua bán,11/03/2023,21377111," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",23 tỷ 290 triệu,767
88.8,2,2,Hợp đồng mua bán,11/03/2023,21730463," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 380 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21377104," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 800 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21278947," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21712256," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",7 tỷ 270 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21278883," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 580 triệu,767
96.0,2,2,Hợp đồng mua bán,11/03/2023,21712190," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 199 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21278837," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 200 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21712175," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 150 triệu,767
84.0,2,2,Hợp đồng mua bán,11/03/2023,21278818," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 330 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21712147," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 100 triệu,767
71.0,2,2,Hợp đồng mua bán,11/03/2023,21263637," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",3 tỷ 550 triệu,767
85.0,2,2,Hợp đồng mua bán,11/03/2023,21712130," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",5 tỷ 360 triệu,767
104.0,3,2,Hợp đồng mua bán,11/03/2023,21263555," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",4 tỷ 500 triệu,767
86.0,2,2,Hợp đồng mua bán,11/03/2023,21614141," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",6 tỷ 500 triệu,767
242.0,3,2,Hợp đồng mua bán,11/03/2023,21262668," Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",11 tỷ,767
